id_usuario,id_orden,id_region,fecha,id_fruta,cantidad
1,554,0,2023-01-07,4,8
154,554,0,2023-02-07,4,11
78,554,0,2023-03-06,4,12
50,554,0,2023-05-23,1,8
50,554,0,2023-05-23,2,8
93,554,0,2023-06-30,0,14
93,554,0,2023-06-30,1,8
93,554,0,2023-06-30,2,5
65,554,0,2023-07-07,0,9
65,554,0,2023-07-07,2,6
95,554,0,2023-08-13,0,2
95,554,0,2023-08-13,2,7
80,554,0,2023-09-02,0,7
80,554,0,2023-10-15,0,15
202,554,0,2023-12-18,4,10
1,14,0,2023-01-09,1,15
1,14,0,2023-01-09,4,5
147,14,0,2023-02-13,0,9
147,14,0,2023-02-13,1,12
32,14,0,2023-03-03,0,13
32,14,0,2023-03-03,1,15
32,14,0,2023-03-03,3,11
141,14,0,2023-04-04,0,5
141,14,0,2023-04-04,2,10
141,14,0,2023-04-04,4,6
70,14,0,2023-05-11,2,3
70,14,0,2023-05-11,3,14
70,14,0,2023-05-11,4,9
124,14,0,2023-06-06,0,7
124,14,0,2023-06-06,1,5
124,14,0,2023-06-06,2,14
124,14,0,2023-06-06,3,4
124,14,0,2023-06-06,4,9
2,14,0,2023-07-25,2,12
46,14,0,2023-08-15,0,6
63,14,0,2023-09-14,0,10
63,14,0,2023-09-14,3,15
63,14,0,2023-09-14,4,14
182,14,0,2023-10-27,0,2
182,14,0,2023-10-27,2,9
40,14,0,2023-11-11,1,14
40,14,0,2023-11-11,3,1
83,14,0,2023-12-16,0,4
83,14,0,2023-12-16,2,4
83,14,0,2023-12-16,3,4
83,14,0,2023-12-16,4,12
1,284,0,2023-01-12,3,10
97,284,0,2023-02-28,3,8
97,284,0,2023-02-28,4,2
74,284,0,2023-03-31,3,1
176,284,0,2023-04-10,3,10
114,284,0,2023-05-06,1,15
114,284,0,2023-05-06,2,8
114,284,0,2023-05-06,3,13
97,284,0,2023-06-20,0,9
97,284,0,2023-06-20,1,15
23,284,0,2023-07-13,0,1
23,284,0,2023-07-13,2,15
127,284,0,2023-08-18,0,15
127,284,0,2023-08-18,3,11
109,284,0,2023-09-25,0,3
109,284,0,2023-09-25,1,10
26,284,0,2023-10-23,1,12
107,284,0,2023-11-22,1,11
107,284,0,2023-11-22,3,14
16,284,0,2023-12-15,2,9
16,284,0,2023-12-15,4,2
1,419,0,2023-01-16,4,3
150,419,0,2023-02-17,4,13
73,419,0,2023-03-10,4,4
117,419,0,2023-04-17,0,10
117,419,0,2023-04-17,1,14
117,419,0,2023-04-17,3,3
88,419,0,2023-05-06,0,7
88,419,0,2023-05-06,1,11
88,419,0,2023-05-06,3,8
173,419,0,2023-06-26,0,13
173,419,0,2023-06-26,3,2
148,419,0,2023-07-26,0,4
164,419,0,2023-08-08,0,14
164,419,0,2023-08-08,1,5
164,419,0,2023-08-08,2,7
164,419,0,2023-08-08,3,5
86,419,0,2023-09-07,0,4
86,419,0,2023-09-07,2,1
86,419,0,2023-09-07,3,15
239,419,0,2023-10-27,1,6
123,419,0,2023-11-29,3,8
200,419,0,2023-12-18,3,2
1,149,0,2023-01-31,2,3
1,149,0,2023-01-31,4,8
125,149,0,2023-02-04,2,11
125,149,0,2023-02-04,3,9
125,149,0,2023-02-04,4,15
158,149,0,2023-03-08,0,5
158,149,0,2023-03-08,1,10
158,149,0,2023-03-08,2,8
158,149,0,2023-03-08,3,13
20,149,0,2023-04-05,1,10
20,149,0,2023-04-05,2,14
20,149,0,2023-04-05,3,14
29,149,0,2023-05-30,1,3
29,149,0,2023-05-30,2,6
77,149,0,2023-06-06,2,1
77,149,0,2023-06-06,3,13
97,149,0,2023-07-02,0,6
97,149,0,2023-07-02,2,10
97,149,0,2023-08-04,0,9
97,149,0,2023-08-04,1,1
98,149,0,2023-09-23,0,2
98,149,0,2023-09-23,2,11
98,149,0,2023-09-23,3,2
217,149,0,2023-10-31,0,13
217,149,0,2023-10-31,1,9
217,149,0,2023-10-31,4,6
248,149,0,2023-11-20,1,6
248,149,0,2023-11-20,3,8
248,149,0,2023-11-20,4,6
18,149,0,2023-12-02,2,9
18,149,0,2023-12-02,3,8
18,149,0,2023-12-02,4,1
2,108,0,2023-01-12,2,6
2,108,0,2023-01-12,3,7
13,108,0,2023-02-14,1,10
13,108,0,2023-02-14,4,7
39,108,0,2023-03-24,1,4
39,108,0,2023-03-24,3,3
39,108,0,2023-03-24,4,12
27,108,0,2023-04-26,0,15
27,108,0,2023-04-26,1,2
27,108,0,2023-04-26,2,1
27,108,0,2023-04-26,4,12
98,108,0,2023-05-15,2,5
123,108,0,2023-06-25,1,3
110,108,0,2023-07-28,1,12
110,108,0,2023-07-28,2,2
131,108,0,2023-08-28,1,8
131,108,0,2023-08-28,2,3
131,108,0,2023-08-28,3,1
100,108,0,2023-09-27,0,11
100,108,0,2023-09-27,1,14
100,108,0,2023-09-27,3,6
145,108,0,2023-10-19,0,4
145,108,0,2023-10-19,3,14
145,108,0,2023-10-19,4,6
199,108,0,2023-11-29,2,14
81,108,0,2023-12-25,2,15
81,108,0,2023-12-25,3,3
2,243,0,2023-01-12,2,2
2,243,0,2023-01-12,4,14
37,243,0,2023-02-13,3,12
37,243,0,2023-02-13,4,14
141,243,0,2023-03-30,4,12
105,243,0,2023-04-06,0,6
105,243,0,2023-04-06,1,13
105,243,0,2023-04-06,3,2
165,243,0,2023-05-19,2,11
165,243,0,2023-05-19,3,4
43,243,0,2023-06-19,1,4
83,243,0,2023-07-22,0,6
83,243,0,2023-07-22,3,13
3,243,0,2023-08-17,0,4
46,243,0,2023-09-16,1,4
46,243,0,2023-09-16,2,5
91,243,0,2023-10-26,1,15
91,243,0,2023-10-26,2,15
91,243,0,2023-10-26,3,1
41,243,0,2023-11-20,2,2
41,243,0,2023-11-20,4,14
71,243,0,2023-12-13,3,3
2,513,0,2023-01-13,4,5
87,513,0,2023-02-08,4,14
71,513,0,2023-03-03,4,13
147,513,0,2023-04-13,1,4
41,513,0,2023-05-30,1,8
179,513,0,2023-06-12,0,14
179,513,0,2023-06-12,1,13
99,513,0,2023-07-09,0,9
99,513,0,2023-07-09,2,7
200,513,0,2023-08-23,1,12
200,513,0,2023-08-23,2,4
223,513,0,2023-09-04,0,3
228,513,0,2023-10-12,0,4
228,513,0,2023-10-12,1,3
191,513,0,2023-11-02,4,9
91,513,0,2023-12-06,4,6
2,378,0,2023-01-16,3,2
2,378,0,2023-01-16,4,9
124,378,0,2023-02-20,3,9
124,378,0,2023-02-20,4,12
98,378,0,2023-03-10,3,12
98,378,0,2023-03-10,4,4
25,378,0,2023-04-29,0,13
25,378,0,2023-04-29,1,14
25,378,0,2023-04-29,3,8
127,378,0,2023-05-02,0,10
127,378,0,2023-05-02,2,9
127,378,0,2023-05-02,3,12
146,378,0,2023-06-21,3,5
208,378,0,2023-07-29,1,13
208,378,0,2023-07-29,2,12
47,378,0,2023-08-16,2,4
47,378,0,2023-08-16,3,5
20,378,0,2023-09-01,0,1
20,378,0,2023-09-01,1,3
20,378,0,2023-09-01,3,2
169,378,0,2023-10-25,0,13
169,378,0,2023-10-25,1,13
169,378,0,2023-10-25,3,7
46,378,0,2023-11-04,4,3
246,378,0,2023-12-25,3,12
3,21,0,2023-01-12,0,12
3,21,0,2023-01-12,2,4
3,21,0,2023-01-12,4,1
72,21,0,2023-02-01,2,13
72,21,0,2023-02-01,3,2
150,21,0,2023-03-11,0,2
150,21,0,2023-03-11,4,8
56,21,0,2023-04-09,1,8
56,21,0,2023-04-09,2,11
56,21,0,2023-04-09,3,8
56,21,0,2023-04-09,4,14
184,21,0,2023-05-13,2,7
184,21,0,2023-05-13,3,10
184,21,0,2023-05-13,4,6
49,21,0,2023-06-04,0,6
49,21,0,2023-06-04,1,14
49,21,0,2023-06-04,3,9
176,21,0,2023-07-04,1,3
176,21,0,2023-07-04,2,8
176,21,0,2023-07-04,4,14
60,21,0,2023-08-01,3,2
60,21,0,2023-08-01,4,13
156,21,0,2023-09-02,0,13
